8140	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:54:"11-Litwa-Z-wizyta-u-Matki-Bozej-Ostrobramskiej-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:62:"11-Litwa-Z-wizyta-u-Matki-Bozej-Ostrobramskiej-pdf-300x212.jpg";s:5:"width";i:30
8141	_wp_attached_file	2021/01/12-Chorwacja-Bosnia-i-Hercegowina-Perly-Chorwacji-i-Medjugorje.pdf
8141	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:70:"12-Chorwacja-Bosnia-i-Hercegowina-Perly-Chorwacji-i-Medjugorje-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:78:"12-Chorwacja-Bosnia-i-Hercegowina-Perly-Chorwacji-i-Medjugorje-p
8142	_wp_attached_file	2021/01/12-Chorwacja-Bosnia-i-Hercegowina-Perly-Chorwacji-i-Medjugorje.pdf
8142	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:70:"12-Chorwacja-Bosnia-i-Hercegowina-Perly-Chorwacji-i-Medjugorje-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:78:"12-Chorwacja-Bosnia-i-Hercegowina-Perly-Chorwacji-i-Medjugorje-p
8143	_wp_attached_file	2021/01/13-Meksyk-Pielgrzymka-do-Matki-Bozej-z-Guadalupe.pdf
8143	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:56:"13-Meksyk-Pielgrzymka-do-Matki-Bozej-z-Guadalupe-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:64:"13-Meksyk-Pielgrzymka-do-Matki-Bozej-z-Guadalupe-pdf-300x212.jpg";s:5:"width";
8144	_wp_attached_file	2021/01/13-Meksyk-Pielgrzymka-do-Matki-Bozej-z-Guadalupe.pdf
8144	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:56:"13-Meksyk-Pielgrzymka-do-Matki-Bozej-z-Guadalupe-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:64:"13-Meksyk-Pielgrzymka-do-Matki-Bozej-z-Guadalupe-pdf-300x212.jpg";s:5:"width";
8145	_wp_attached_file	2021/01/14-Grecja-Sladami-sw.-Pawla-od-Aten-do-Salonik.pdf
8145	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:54:"14-Grecja-Sladami-sw.-Pawla-od-Aten-do-Salonik-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:62:"14-Grecja-Sladami-sw.-Pawla-od-Aten-do-Salonik-pdf-300x212.jpg";s:5:"width";i:30
8146	_wp_attached_file	2021/01/14-Grecja-Sladami-sw.-Pawla-od-Aten-do-Salonik.pdf
8146	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:54:"14-Grecja-Sladami-sw.-Pawla-od-Aten-do-Salonik-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:62:"14-Grecja-Sladami-sw.-Pawla-od-Aten-do-Salonik-pdf-300x212.jpg";s:5:"width";i:30
8147	_wp_attached_file	2021/01/15-Turcja-Sladami-sw.-Pawla.pdf
8147	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:35:"15-Turcja-Sladami-sw.-Pawla-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:43:"15-Turcja-Sladami-sw.-Pawla-pdf-300x212.jpg";s:5:"width";i:300;s:6:"height";i:212;s:9:"mime-type";s
8148	_wp_attached_file	2021/01/15-Turcja-Sladami-sw.-Pawla.pdf
8148	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:35:"15-Turcja-Sladami-sw.-Pawla-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:43:"15-Turcja-Sladami-sw.-Pawla-pdf-300x212.jpg";s:5:"width";i:300;s:6:"height";i:212;s:9:"mime-type";s
8149	_wp_attached_file	2021/01/16-Malta-Wyspa-sw.-Pawla.pdf
8149	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:32:"16-Malta-Wyspa-sw.-Pawla-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:40:"16-Malta-Wyspa-sw.-Pawla-pdf-300x212.jpg";s:5:"width";i:300;s:6:"height";i:212;s:9:"mime-type";s:10:"i
8150	_wp_attached_file	2021/01/16-Malta-Wyspa-sw.-Pawla.pdf
8150	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:32:"16-Malta-Wyspa-sw.-Pawla-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:40:"16-Malta-Wyspa-sw.-Pawla-pdf-300x212.jpg";s:5:"width";i:300;s:6:"height";i:212;s:9:"mime-type";s:10:"i
8151	_wp_attached_file	2021/01/17-Wlochy-Sladami-Swietych-i-Apostolow.pdf
8151	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:46:"17-Wlochy-Sladami-Swietych-i-Apostolow-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:54:"17-Wlochy-Sladami-Swietych-i-Apostolow-pdf-300x212.jpg";s:5:"width";i:300;s:6:"height";i
8152	_wp_attached_file	2021/01/17-Wlochy-Sladami-Swietych-i-Apostolow.pdf
8152	_wp_attachment_metadata	a:1:{s:5:"sizes";a:4:{s:4:"full";a:4:{s:4:"file";s:46:"17-Wlochy-Sladami-Swietych-i-Apostolow-pdf.jpg";s:5:"width";i:1495;s:6:"height";i:1058;s:9:"mime-type";s:10:"image/jpeg";}s:6:"medium";a:4:{s:4:"file";s:54:"17-Wlochy-Sladami-Swietych-i-Apostolow-pdf-300x212.jpg";s:5:"width";i:300;s:6:"height";i
8153	_wp_attached_file	2021/01/18-Wlochy-Sanktuaria-Italii.pdf
